,category,year,win,entity
0,best_picture - drama,2020,True,1917
1,best_picture - drama,2020,False,"Irishman,  The"
2,best_picture - drama,2020,False,Joker
3,best_picture - drama,2020,False,Marriage Story
4,best_picture - drama,2020,False,"Two Popes,  The"
5,best_picture - comedy,2020,True,Once Upon a Time...in Hollywood
6,best_picture - comedy,2020,False,Jojo Rabbit
7,best_picture - comedy,2020,False,Knives Out
8,best_picture - comedy,2020,False,Rocketman
9,best_picture - comedy,2020,False,Dolemite Is My Name
10,best_actress_drama,2020,True,Renée Zellweger
11,best_actress_drama,2020,False,Scarlett Johansson
12,best_actress_drama,2020,False,Saoirse Ronan
13,best_actress_drama,2020,False,Charlize Theron
14,best_actress_drama,2020,False,Cynthia Erivo
15,best_actor_drama,2020,True,Joaquin Phoenix
16,best_actor_drama,2020,False,Christian Bale
17,best_actor_drama,2020,False,Antonio Banderas
18,best_actor_drama,2020,False,Adam Driver
19,best_actor_drama,2020,False,Jonathan Pryce
20,best_actress_comedy,2020,True,Awkwafina
21,best_actress_comedy,2020,False,Ana de Armas
22,best_actress_comedy,2020,False,Cate Blanchett
23,best_actress_comedy,2020,False,Beanie Feldstein
24,best_actress_comedy,2020,False,Emma Thompson
25,best_actor_comedy,2020,True,Taron Egerton
26,best_actor_comedy,2020,False,Daniel Craig
27,best_actor_comedy,2020,False,Roman Griffin Davis
28,best_actor_comedy,2020,False,Leonardo DiCaprio
29,best_actor_comedy,2020,False,Eddie Murphy
30,support_actress,2020,True,Laura Dern
31,support_actress,2020,False,Annette Bening
32,support_actress,2020,False,Jennifer Lopez
33,support_actress,2020,False,Margot Robbie
34,support_actress,2020,False,Kathy Bates
35,support_actor,2020,True,Brad Pitt
36,support_actor,2020,False,Tom Hanks
37,support_actor,2020,False,Anthony Hopkins
38,support_actor,2020,False,Al Pacino
39,support_actor,2020,False,Joe Pesci
0,best_picture - drama,2019,True,Bohemian Rhapsody
1,best_picture - drama,2019,False,"Star Is Born,  A (2018)"
2,best_picture - drama,2019,False,Black Panther
3,best_picture - drama,2019,False,BlacKkKlansman
4,best_picture - drama,2019,False,If Beale Street Could Talk
5,best_picture - comedy,2019,True,Green Book
6,best_picture - comedy,2019,False,Crazy Rich Asians
7,best_picture - comedy,2019,False,"Favourite,  The"
8,best_picture - comedy,2019,False,Mary Poppins Returns
9,best_picture - comedy,2019,False,Vice
10,best_actress_drama,2019,True,Glenn Close
11,best_actress_drama,2019,False,Lady Gaga
12,best_actress_drama,2019,False,Nicole Kidman
13,best_actress_drama,2019,False,Melissa McCarthy
14,best_actress_drama,2019,False,Rosamund Pike
15,best_actor_drama,2019,True,Rami Malek
16,best_actor_drama,2019,False,John David Washington
17,best_actor_drama,2019,False,Bradley Cooper
18,best_actor_drama,2019,False,Willem Dafoe
19,best_actor_drama,2019,False,Lucas Hedges
20,best_actress_comedy,2019,True,Olivia Colman
21,best_actress_comedy,2019,False,Emily Blunt
22,best_actress_comedy,2019,False,Elsie Fisher
23,best_actress_comedy,2019,False,Charlize Theron
24,best_actress_comedy,2019,False,Constance Wu
25,best_actor_comedy,2019,True,Christian Bale
26,best_actor_comedy,2019,False,Lin-Manuel Miranda
27,best_actor_comedy,2019,False,Viggo Mortensen
28,best_actor_comedy,2019,False,Robert Redford
29,best_actor_comedy,2019,False,John C. Reilly
30,support_actress,2019,True,Regina King
31,support_actress,2019,False,Claire Foy
32,support_actress,2019,False,Emma Stone
33,support_actress,2019,False,Rachel Weisz
34,support_actress,2019,False,Amy Adams
35,support_actor,2019,True,Mahershala Ali
36,support_actor,2019,False,Timothée Chalamet
37,support_actor,2019,False,Adam Driver
38,support_actor,2019,False,Richard E. Grant
39,support_actor,2019,False,Sam Rockwell
0,best_picture - drama,2018,True,"Three Billboards Outside Ebbing,  Missouri"
1,best_picture - drama,2018,False,Dunkirk
2,best_picture - drama,2018,False,The Post
3,best_picture - drama,2018,False,The Shape of Water
4,best_picture - drama,2018,False,Call Me By Your Name
5,best_picture - comedy,2018,True,Lady Bird
6,best_picture - comedy,2018,False,"Disaster Artist,  The "
7,best_picture - comedy,2018,False,Get Out
8,best_picture - comedy,2018,False,The Greatest Showman
9,best_picture - comedy,2018,False,"I,  Tonya"
10,best_actress_drama,2018,True,Frances McDormand
11,best_actress_drama,2018,False,Jessica Chastain
12,best_actress_drama,2018,False,Sally Hawkins
13,best_actress_drama,2018,False,Meryl Streep
14,best_actress_drama,2018,False,Michelle Williams
15,best_actor_drama,2018,True,Gary Oldman
16,best_actor_drama,2018,False,Timothée Chalamet
17,best_actor_drama,2018,False,Daniel Day-Lewis
18,best_actor_drama,2018,False,Tom Hanks
19,best_actor_drama,2018,False,Denzel Washington
20,best_actress_comedy,2018,True,Saoirse Ronan
21,best_actress_comedy,2018,False,Emma Stone
22,best_actress_comedy,2018,False,Judi Dench
23,best_actress_comedy,2018,False,Helen Mirren
24,best_actress_comedy,2018,False,Margot Robbie
25,best_actor_comedy,2018,True,James Franco
26,best_actor_comedy,2018,False,Steve Carell
27,best_actor_comedy,2018,False,Ansel Elgort
28,best_actor_comedy,2018,False,Hugh Jackman
29,best_actor_comedy,2018,False,Daniel Kaluuya
30,support_actress,2018,True,Allison Janney
31,support_actress,2018,False,Octavia Spencer
32,support_actress,2018,False,Mary J. Blige
33,support_actress,2018,False,Hong Chau
34,support_actress,2018,False,Laurie Metcalf
35,support_actor,2018,True,Sam Rockwell
36,support_actor,2018,False,Willem Dafoe
37,support_actor,2018,False,Armie Hammer
38,support_actor,2018,False,Richard Jenkins
39,support_actor,2018,False,Christopher Plummer
0,best_picture - drama,2017,True,Moonlight
1,best_picture - drama,2017,False,Hacksaw Ridge
2,best_picture - drama,2017,False,Hell or High Water
3,best_picture - drama,2017,False,Lion
4,best_picture - drama,2017,False,Manchester by the Sea
5,best_picture - comedy,2017,True,La La Land
6,best_picture - comedy,2017,False,Deadpool
7,best_picture - comedy,2017,False,Florence Foster Jenkins
8,best_picture - comedy,2017,False,Sing Street
9,best_picture - comedy,2017,False,20th Century Women
10,best_actress_drama,2017,True,Isabelle Huppert
11,best_actress_drama,2017,False,Jessica Chastain
12,best_actress_drama,2017,False,Ruth Negga
13,best_actress_drama,2017,False,Natalie Portman
14,best_actress_drama,2017,False,Amy Adams
15,best_actor_drama,2017,True,Casey Affleck
16,best_actor_drama,2017,False,Joel Edgerton
17,best_actor_drama,2017,False,Andrew Garfield
18,best_actor_drama,2017,False,Viggo Mortensen
19,best_actor_drama,2017,False,Denzel Washington
20,best_actress_comedy,2017,True,Emma Stone
21,best_actress_comedy,2017,False,Annette Bening
22,best_actress_comedy,2017,False,Lily Collins
23,best_actress_comedy,2017,False,Hailee Steinfeld
24,best_actress_comedy,2017,False,Meryl Streep
25,best_actor_comedy,2017,True,Ryan Gosling
26,best_actor_comedy,2017,False,Hugh Grant
27,best_actor_comedy,2017,False,Jonah Hill
28,best_actor_comedy,2017,False,Ryan Reynolds
29,best_actor_comedy,2017,False,Colin Farrell
30,support_actress,2017,True,Viola Davis
31,support_actress,2017,False,Naomie Harris
32,support_actress,2017,False,Nicole Kidman
33,support_actress,2017,False,Octavia Spencer
34,support_actress,2017,False,Michelle Williams
35,support_actor,2017,True,Aaron Taylor-Johnson
36,support_actor,2017,False,Jeff Bridges
37,support_actor,2017,False,Simon Helberg
38,support_actor,2017,False,Dev Patel
39,support_actor,2017,False,Mahershala Ali
0,best_picture - drama,2016,True,The Revenant
1,best_picture - drama,2016,False,Carol
2,best_picture - drama,2016,False,Mad Max: Fury Road
3,best_picture - drama,2016,False,Room
4,best_picture - drama,2016,False,Spotlight
5,best_picture - comedy,2016,True,The Martian
6,best_picture - comedy,2016,False,Trainwreck
7,best_picture - comedy,2016,False,Joy
8,best_picture - comedy,2016,False,Spy
9,best_picture - comedy,2016,False,"Big Short,  The"
10,best_actress_drama,2016,True,Brie Larson
11,best_actress_drama,2016,False,Alicia Vikander
12,best_actress_drama,2016,False,Saoirse Ronan
13,best_actress_drama,2016,False,Cate Blanchett
14,best_actress_drama,2016,False,Rooney Mara
15,best_actor_drama,2016,True,Leonardo DiCaprio
16,best_actor_drama,2016,False,Will Smith
17,best_actor_drama,2016,False,Michael Fassbender
18,best_actor_drama,2016,False,Eddie Redmayne
19,best_actor_drama,2016,False,Bryan Cranston
20,best_actress_comedy,2016,True,Jennifer Lawrence
21,best_actress_comedy,2016,False,Maggie Smith
22,best_actress_comedy,2016,False,Amy Schumer
23,best_actress_comedy,2016,False,Lily Tomlin
24,best_actress_comedy,2016,False,Melissa McCarthy
25,best_actor_comedy,2016,True,Matt Damon
26,best_actor_comedy,2016,False,Al Pacino
27,best_actor_comedy,2016,False,Mark Ruffalo
28,best_actor_comedy,2016,False,Christian Bale
29,best_actor_comedy,2016,False,Steve Carell
30,support_actress,2016,True,Kate Winslet
31,support_actress,2016,False,Jane Fonda
32,support_actress,2016,False,Alicia Vikander
33,support_actress,2016,False,Jennifer Jason Leigh
34,support_actress,2016,False,Helen Mirren
35,support_actor,2016,True,Sylvester Stallone
36,support_actor,2016,False,Michael Shannon
37,support_actor,2016,False,Idris Elba
38,support_actor,2016,False,Mark Rylance
39,support_actor,2016,False,Paul Dano
0,best_picture - drama,2015,True,Boyhood
1,best_picture - drama,2015,False,Foxcatcher
2,best_picture - drama,2015,False,The Theory of Everything
3,best_picture - drama,2015,False,The Imitation Game
4,best_picture - drama,2015,False,Selma
5,best_picture - comedy,2015,True,"Grand Budapest Hotel,  The"
6,best_picture - comedy,2015,False,Into the Woods
7,best_picture - comedy,2015,False,St. Vincent
8,best_picture - comedy,2015,False,Pride
9,best_picture - comedy,2015,False,Birdman
10,best_actress_drama,2015,True,Julianne Moore
11,best_actress_drama,2015,False,Jennifer Aniston
12,best_actress_drama,2015,False,Felicity Jones
13,best_actress_drama,2015,False,Rosamund Pike
14,best_actress_drama,2015,False,Reese Witherspoon
15,best_actor_drama,2015,True,Eddie Redmayne
16,best_actor_drama,2015,False,Benedict Cumberbatch
17,best_actor_drama,2015,False,David Oyelowo
18,best_actor_drama,2015,False,Steve Carell
19,best_actor_drama,2015,False,Jake Gyllenhaal
20,best_actress_comedy,2015,True,Amy Adams
21,best_actress_comedy,2015,False,Emily Blunt
22,best_actress_comedy,2015,False,Helen Mirren
23,best_actress_comedy,2015,False,Julianne Moore
24,best_actress_comedy,2015,False,Quvenzhané Wallis
25,best_actor_comedy,2015,True,Michael Keaton
26,best_actor_comedy,2015,False,Ralph Fiennes
27,best_actor_comedy,2015,False,Christoph Waltz
28,best_actor_comedy,2015,False,Bill Murray
29,best_actor_comedy,2015,False,Joaquin Phoenix
30,support_actress,2015,True,Patricia Arquette
31,support_actress,2015,False,Emma Stone
32,support_actress,2015,False,Keira Knightley
33,support_actress,2015,False,Meryl Streep
34,support_actress,2015,False,Jessica Chastain
35,support_actor,2015,True,J.K. Simmons
36,support_actor,2015,False,Mark Ruffalo
37,support_actor,2015,False,Robert Duvall
38,support_actor,2015,False,Ethan Hawke
39,support_actor,2015,False,Edward Norton
0,best_picture - drama,2014,True,12 Years a Slave
1,best_picture - drama,2014,False,Captain Phillips
2,best_picture - drama,2014,False,Gravity
3,best_picture - drama,2014,False,Philomena
4,best_picture - drama,2014,False,Rush
5,best_picture - comedy,2014,True,American Hustle
6,best_picture - comedy,2014,False,"Wolf of Wall Street,  The"
7,best_picture - comedy,2014,False,Nebraska
8,best_picture - comedy,2014,False,Inside Llewyn Davis
9,best_picture - comedy,2014,False,Her
10,best_actress_drama,2014,True,Cate Blanchett
11,best_actress_drama,2014,False,Kate Winslet
12,best_actress_drama,2014,False,Emma Thompson
13,best_actress_drama,2014,False,Sandra Bullock
14,best_actress_drama,2014,False,Judi Dench
15,best_actor_drama,2014,True,Matthew McConaughey
16,best_actor_drama,2014,False,Chiwetel Ejiofor
17,best_actor_drama,2014,False,Tom Hanks
18,best_actor_drama,2014,False,Idris Elba
19,best_actor_drama,2014,False,Robert Redford
20,best_actress_comedy,2014,True,Amy Adams
21,best_actress_comedy,2014,False,Meryl Streep
22,best_actress_comedy,2014,False,Julie Delpy
23,best_actress_comedy,2014,False,Julia Louis-Dreyfus
24,best_actress_comedy,2014,False,Greta Gerwig
25,best_actor_comedy,2014,True,Leonardo DiCaprio
26,best_actor_comedy,2014,False,Joaquin Phoenix
27,best_actor_comedy,2014,False,Christian Bale
28,best_actor_comedy,2014,False,Bruce Dern
29,best_actor_comedy,2014,False,Oscar Isaac
30,support_actress,2014,True,Jennifer Lawrence
31,support_actress,2014,False,Lupita Nyong'o
32,support_actress,2014,False,June Squibb
33,support_actress,2014,False,Julia Roberts
34,support_actress,2014,False,Sally Hawkins
35,support_actor,2014,True,Jared Leto
36,support_actor,2014,False,Michael Fassbender
37,support_actor,2014,False,Barkhad Abdi
38,support_actor,2014,False,Daniel Brühl
39,support_actor,2014,False,Bradley Cooper
0,best_picture - drama,2013,True,Argo
1,best_picture - drama,2013,False,Django Unchained
2,best_picture - drama,2013,False,Life of Pi
3,best_picture - drama,2013,False,Lincoln
4,best_picture - drama,2013,False,Zero Dark Thirty  
5,best_picture - comedy,2013,True,Les Misérables
6,best_picture - comedy,2013,False,Silver Linings Playbook
7,best_picture - comedy,2013,False,"Best Exotic Marigold Hotel,  The"
8,best_picture - comedy,2013,False,Moonrise Kingdom
9,best_picture - comedy,2013,False,Salmon Fishing in the Yemen
10,best_actress_drama,2013,True,Jessica Chastain
11,best_actress_drama,2013,False,Naomi Watts
12,best_actress_drama,2013,False,Rachel Weisz
13,best_actress_drama,2013,False,Marion Cotillard
14,best_actress_drama,2013,False,Helen Mirren
15,best_actor_drama,2013,True,Daniel Day-Lewis
16,best_actor_drama,2013,False,Richard Gere
17,best_actor_drama,2013,False,Joaquin Phoenix
18,best_actor_drama,2013,False,Denzel Washington
19,best_actor_drama,2013,False,John Hawkes
20,best_actress_comedy,2013,True,Jennifer Lawrence
21,best_actress_comedy,2013,False,Emily Blunt
22,best_actress_comedy,2013,False,Judi Dench
23,best_actress_comedy,2013,False,Maggie Smith
24,best_actress_comedy,2013,False,Meryl Streep
25,best_actor_comedy,2013,True,Hugh Jackman
26,best_actor_comedy,2013,False,Jack Black
27,best_actor_comedy,2013,False,Ewan McGregor
28,best_actor_comedy,2013,False,Bill Murray
29,best_actor_comedy,2013,False,Bradley Cooper
30,support_actress,2013,True,Anne Hathaway
31,support_actress,2013,False,Helen Hunt
32,support_actress,2013,False,Nicole Kidman
33,support_actress,2013,False,Sally Field
34,support_actress,2013,False,Amy Adams
35,support_actor,2013,True,Christoph Waltz
36,support_actor,2013,False,Alan Arkin
37,support_actor,2013,False,Leonardo DiCaprio
38,support_actor,2013,False,Tommy Lee Jones
39,support_actor,2013,False,Philip Seymour Hoffman
0,best_picture - drama,2012,True,The Descendants
1,best_picture - drama,2012,False,Moneyball
2,best_picture - drama,2012,False,War Horse
3,best_picture - drama,2012,False,The Help
4,best_picture - drama,2012,False,Hugo
5,best_picture - drama,2012,False,The Ides of March
6,best_picture - comedy,2012,True,The Artist
7,best_picture - comedy,2012,False,50/50
8,best_picture - comedy,2012,False,Bridesmaids
9,best_picture - comedy,2012,False,Midnight In Paris
10,best_picture - comedy,2012,False,My Week With Marilyn
11,best_picture - comedy,2012,False,nan
12,best_actress_drama,2012,True,Meryl Streep
13,best_actress_drama,2012,False,Glenn Close
14,best_actress_drama,2012,False,Viola Davis
15,best_actress_drama,2012,False,Rooney Mara
16,best_actress_drama,2012,False,Tilda Swinton
17,best_actress_drama,2012,False,nan
18,best_actor_drama,2012,True,George Clooney
19,best_actor_drama,2012,False,Ryan Gosling
20,best_actor_drama,2012,False,Brad Pitt
21,best_actor_drama,2012,False,Leonardo DiCaprio
