,year,category,winner,entity,award
0,1962,BEST PICTURE,True,Lawrence of Arabia,academy_award
1,1962,BEST PICTURE,False,The Longest Day,academy_award
2,1962,BEST PICTURE,False,Meredith Willson's The Music Man,academy_award
3,1962,BEST PICTURE,False,Mutiny on the Bounty,academy_award
4,1962,BEST PICTURE,False,To Kill a Mockingbird,academy_award
5,1963,BEST PICTURE,False,America America,academy_award
6,1963,BEST PICTURE,False,Cleopatra,academy_award
7,1963,BEST PICTURE,False,How the West Was Won,academy_award
8,1963,BEST PICTURE,False,Lilies of the Field,academy_award
9,1963,BEST PICTURE,True,Tom Jones,academy_award
10,1964,BEST PICTURE,False,Becket,academy_award
11,1964,BEST PICTURE,False,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,academy_award
12,1964,BEST PICTURE,False,Mary Poppins,academy_award
13,1964,BEST PICTURE,True,My Fair Lady,academy_award
14,1964,BEST PICTURE,False,Zorba the Greek,academy_award
15,1965,BEST PICTURE,False,Darling,academy_award
16,1965,BEST PICTURE,False,Doctor Zhivago,academy_award
17,1965,BEST PICTURE,False,Ship of Fools,academy_award
18,1965,BEST PICTURE,True,The Sound of Music,academy_award
19,1965,BEST PICTURE,False,A Thousand Clowns,academy_award
20,1966,BEST PICTURE,False,Alfie,academy_award
21,1966,BEST PICTURE,True,A Man for All Seasons,academy_award
22,1966,BEST PICTURE,False,The Russians Are Coming The Russians Are Coming,academy_award
23,1966,BEST PICTURE,False,The Sand Pebbles,academy_award
24,1966,BEST PICTURE,False,Who's Afraid of Virginia Woolf?,academy_award
25,1967,BEST PICTURE,False,Bonnie and Clyde,academy_award
26,1967,BEST PICTURE,False,Doctor Dolittle,academy_award
27,1967,BEST PICTURE,False,The Graduate,academy_award
28,1967,BEST PICTURE,False,Guess Who's Coming to Dinner,academy_award
29,1967,BEST PICTURE,True,In the Heat of the Night,academy_award
30,1968,BEST PICTURE,False,Funny Girl,academy_award
31,1968,BEST PICTURE,False,The Lion in Winter,academy_award
32,1968,BEST PICTURE,True,Oliver!,academy_award
33,1968,BEST PICTURE,False,"Rachel, Rachel",academy_award
34,1968,BEST PICTURE,False,Romeo and Juliet,academy_award
35,1969,BEST PICTURE,False,Anne of the Thousand Days,academy_award
36,1969,BEST PICTURE,False,Butch Cassidy and the Sundance Kid,academy_award
37,1969,BEST PICTURE,False,"Hello, Dolly!",academy_award
38,1969,BEST PICTURE,True,Midnight Cowboy,academy_award
39,1969,BEST PICTURE,False,Z,academy_award
40,1970,BEST PICTURE,False,Airport,academy_award
41,1970,BEST PICTURE,False,Five Easy Pieces,academy_award
42,1970,BEST PICTURE,False,Love Story,academy_award
43,1970,BEST PICTURE,False,M*A*S*H,academy_award
44,1970,BEST PICTURE,True,Patton,academy_award
45,1971,BEST PICTURE,False,A Clockwork Orange,academy_award
46,1971,BEST PICTURE,False,Fiddler on the Roof,academy_award
47,1971,BEST PICTURE,True,The French Connection,academy_award
48,1971,BEST PICTURE,False,The Last Picture Show,academy_award
49,1971,BEST PICTURE,False,Nicholas and Alexandra,academy_award
50,1972,BEST PICTURE,False,Cabaret,academy_award
51,1972,BEST PICTURE,False,Deliverance,academy_award
52,1972,BEST PICTURE,False,The Emigrants,academy_award
53,1972,BEST PICTURE,True,The Godfather,academy_award
54,1972,BEST PICTURE,False,Sounder,academy_award
55,1973,BEST PICTURE,False,American Graffiti,academy_award
56,1973,BEST PICTURE,False,Cries and Whispers,academy_award
57,1973,BEST PICTURE,False,The Exorcist,academy_award
58,1973,BEST PICTURE,True,The Sting,academy_award
