,year,category,oscar_wins,entity
0,1927,best_picture,False,the caddo company
1,1927,best_picture,False,fox
2,1927,best_picture,True,paramount famous lasky
3,1928,best_picture,False,feature productions
4,1928,best_picture,False,fox
5,1928,best_picture,True,metro-goldwyn-mayer
6,1928,best_picture,False,metro-goldwyn-mayer
7,1928,best_picture,False,paramount famous lasky
8,1929,best_picture,True,all quiet on the western front
9,1929,best_picture,False,the big house
10,1929,best_picture,False,disraeli
11,1929,best_picture,False,the divorcee
12,1929,best_picture,False,the love parade
13,1930,best_picture,True,cimarron
14,1930,best_picture,False,east lynne
15,1930,best_picture,False,the front page
16,1930,best_picture,False,skippy
17,1930,best_picture,False,trader horn
18,1931,best_picture,False,arrowsmith
19,1931,best_picture,False,bad girl
20,1931,best_picture,False,the champ
21,1931,best_picture,False,five star final
22,1931,best_picture,True,grand hotel
23,1931,best_picture,False,one hour with you
24,1931,best_picture,False,shanghai express
25,1931,best_picture,False,the smiling lieutenant
26,1932,best_picture,True,cavalcade
27,1932,best_picture,False,a farewell to arms
28,1932,best_picture,False,42nd street
29,1932,best_picture,False,i am a fugitive from a chain gang
30,1932,best_picture,False,lady for a day
31,1932,best_picture,False,little women
32,1932,best_picture,False,the private life of henry viii
33,1932,best_picture,False,she done him wrong
34,1932,best_picture,False,smilin' through
35,1932,best_picture,False,state fair
36,1934,best_picture,False,the barretts of wimpole street
37,1934,best_picture,False,cleopatra
38,1934,best_picture,False,flirtation walk
39,1934,best_picture,False,the gay divorcee
40,1934,best_picture,False,here comes the navy
41,1934,best_picture,False,the house of rothschild
42,1934,best_picture,False,imitation of life
43,1934,best_picture,True,it happened one night
44,1934,best_picture,False,one night of love
45,1934,best_picture,False,the thin man
46,1934,best_picture,False,viva villa!
47,1934,best_picture,False,the white parade
48,1935,best_picture,False,alice adams
49,1935,best_picture,False,broadway melody of 1936
50,1935,best_picture,False,captain blood
51,1935,best_picture,False,david copperfield
52,1935,best_picture,False,the informer
53,1935,best_picture,False,les miserables
54,1935,best_picture,False,the lives of a bengal lancer
55,1935,best_picture,False,a midsummer night's dream
56,1935,best_picture,True,mutiny on the bounty
57,1935,best_picture,False,naughty marietta
58,1935,best_picture,False,ruggles of red gap
59,1935,best_picture,False,top hat
60,1936,best_picture,False,anthony adverse
61,1936,best_picture,False,dodsworth
62,1936,best_picture,True,the great ziegfeld
63,1936,best_picture,False,libeled lady
64,1936,best_picture,False,mr. deeds goes to town
65,1936,best_picture,False,romeo and juliet
66,1936,best_picture,False,san francisco
67,1936,best_picture,False,the story of louis pasteur
68,1936,best_picture,False,a tale of two cities
69,1936,best_picture,False,three smart girls
70,1937,best_picture,False,the awful truth
71,1937,best_picture,False,captains courageous
72,1937,best_picture,False,dead end
73,1937,best_picture,False,the good earth
74,1937,best_picture,False,in old chicago
75,1937,best_picture,True,the life of emile zola
76,1937,best_picture,False,lost horizon
77,1937,best_picture,False,one hundred men and a girl
78,1937,best_picture,False,stage door
79,1937,best_picture,False,a star is born
80,1938,best_picture,False,the adventures of robin hood
81,1938,best_picture,False,alexander's ragtime band
82,1938,best_picture,False,boys town
83,1938,best_picture,False,the citadel
84,1938,best_picture,False,four daughters
85,1938,best_picture,False,grand illusion
86,1938,best_picture,False,jezebel
87,1938,best_picture,False,pygmalion
88,1938,best_picture,False,test pilot
89,1938,best_picture,True,you can't take it with you
90,1939,best_picture,False,dark victory
91,1939,best_picture,True,gone with the wind
92,1939,best_picture,False,"goodbye, mr. chips"
93,1939,best_picture,False,love affair
94,1939,best_picture,False,mr. smith goes to washington
95,1939,best_picture,False,ninotchka
96,1939,best_picture,False,of mice and men
97,1939,best_picture,False,stagecoach
98,1939,best_picture,False,the wizard of oz
99,1939,best_picture,False,wuthering heights
100,1940,best_picture,False,"all this, and heaven too"
101,1940,best_picture,False,foreign correspondent
102,1940,best_picture,False,the grapes of wrath
103,1940,best_picture,False,the great dictator
104,1940,best_picture,False,kitty foyle
105,1940,best_picture,False,the letter
106,1940,best_picture,False,the long voyage home
107,1940,best_picture,False,our town
108,1940,best_picture,False,the philadelphia story
109,1940,best_picture,True,rebecca
110,1941,best_picture,False,blossoms in the dust
111,1941,best_picture,False,citizen kane
112,1941,best_picture,False,here comes mr. jordan
113,1941,best_picture,False,hold back the dawn
114,1941,best_picture,True,how green was my valley
115,1941,best_picture,False,the little foxes
116,1941,best_picture,False,the maltese falcon
117,1941,best_picture,False,one foot in heaven
118,1941,best_picture,False,sergeant york
119,1941,best_picture,False,suspicion
120,1942,best_picture,False,the invaders
121,1942,best_picture,False,kings row
122,1942,best_picture,False,the magnificent ambersons
123,1942,best_picture,True,mrs. miniver
124,1942,best_picture,False,the pied piper
125,1942,best_picture,False,the pride of the yankees
126,1942,best_picture,False,random harvest
127,1942,best_picture,False,the talk of the town
128,1942,best_picture,False,wake island
129,1942,best_picture,False,yankee doodle dandy
130,1943,best_picture,True,casablanca
131,1943,best_picture,False,for whom the bell tolls
132,1943,best_picture,False,heaven can wait
133,1943,best_picture,False,the human comedy
134,1943,best_picture,False,in which we serve
135,1943,best_picture,False,madame curie
136,1943,best_picture,False,the more the merrier
137,1943,best_picture,False,the ox-bow incident
138,1943,best_picture,False,the song of bernadette
139,1943,best_picture,False,watch on the rhine
140,1944,best_picture,False,double indemnity
141,1944,best_picture,False,gaslight
142,1944,best_picture,True,going my way
143,1944,best_picture,False,since you went away
144,1944,best_picture,False,wilson
145,1945,best_picture,False,anchors aweigh
146,1945,best_picture,False,the bells of st. mary's
147,1945,best_picture,True,the lost weekend
148,1945,best_picture,False,mildred pierce
149,1945,best_picture,False,spellbound
150,1946,best_picture,True,the best years of our lives
151,1946,best_picture,False,henry v
152,1946,best_picture,False,it's a wonderful life
153,1946,best_picture,False,the razor's edge
154,1946,best_picture,False,the yearling
155,1947,best_picture,False,the bishop's wife
156,1947,best_picture,False,crossfire
157,1947,best_picture,True,gentleman's agreement
158,1947,best_picture,False,great expectations
159,1947,best_picture,False,miracle on 34th street
160,1948,best_picture,True,hamlet
161,1948,best_picture,False,johnny belinda
162,1948,best_picture,False,the red shoes
163,1948,best_picture,False,the snake pit
164,1948,best_picture,False,the treasure of the sierra madre
165,1949,best_picture,True,all the king's men
166,1949,best_picture,False,battleground
167,1949,best_picture,False,the heiress
168,1949,best_picture,False,a letter to three wives
169,1949,best_picture,False,twelve o'clock high
170,1950,best_picture,True,all about eve
171,1950,best_picture,False,born yesterday
172,1950,best_picture,False,father of the bride
173,1950,best_picture,False,king solomon's mines
174,1950,best_picture,False,sunset blvd.
175,1951,best_picture,True,an american in paris
176,1951,best_picture,False,decision before dawn
177,1951,best_picture,False,a place in the sun
178,1951,best_picture,False,quo vadis
179,1951,best_picture,False,a streetcar named desire
180,1952,best_picture,True,the greatest show on earth
181,1952,best_picture,False,high noon
182,1952,best_picture,False,ivanhoe
183,1952,best_picture,False,moulin rouge
184,1952,best_picture,False,the quiet man
185,1953,best_picture,True,from here to eternity
186,1953,best_picture,False,julius caesar
187,1953,best_picture,False,the robe
188,1953,best_picture,False,roman holiday
189,1953,best_picture,False,shane
190,1954,best_picture,False,the caine mutiny
191,1954,best_picture,False,the country girl
192,1954,best_picture,True,on the waterfront
193,1954,best_picture,False,seven brides for seven brothers
194,1954,best_picture,False,three coins in the fountain
195,1955,best_picture,False,love is a many-splendored thing
196,1955,best_picture,True,marty
197,1955,best_picture,False,mister roberts
198,1955,best_picture,False,picnic
199,1955,best_picture,False,the rose tattoo
200,1956,best_picture,True,around the world in 80 days
201,1956,best_picture,False,friendly persuasion
202,1956,best_picture,False,giant
203,1956,best_picture,False,the king and i
204,1956,best_picture,False,the ten commandments
205,1957,best_picture,True,the bridge on the river kwai
206,1957,best_picture,False,peyton place
207,1957,best_picture,False,sayonara
208,1957,best_picture,False,12 angry men
209,1957,best_picture,False,witness for the prosecution
210,1958,best_picture,False,auntie mame
211,1958,best_picture,False,cat on a hot tin roof
212,1958,best_picture,False,the defiant ones
213,1958,best_picture,True,gigi
214,1958,best_picture,False,separate tables
215,1959,best_picture,False,anatomy of a murder
216,1959,best_picture,True,ben-hur
217,1959,best_picture,False,the diary of anne frank
218,1959,best_picture,False,the nun's story
219,1959,best_picture,False,room at the top
220,1960,best_picture,False,the alamo
221,1960,best_picture,True,the apartment
222,1960,best_picture,False,elmer gantry
223,1960,best_picture,False,sons and lovers
224,1960,best_picture,False,the sundowners
225,1961,best_picture,False,fanny
226,1961,best_picture,False,the guns of navarone
227,1961,best_picture,False,the hustler
228,1961,best_picture,False,judgment at nuremberg
229,1961,best_picture,True,west side story
230,1927,lead_actor,False,richard barthelmess
231,1927,lead_actor,True,emil jannings
232,1928,lead_actor,False,george bancroft
233,1928,lead_actor,True,warner baxter
234,1928,lead_actor,False,chester morris
235,1928,lead_actor,False,paul muni
236,1928,lead_actor,False,lewis stone
237,1929,lead_actor,True,george arliss
238,1929,lead_actor,False,george arliss
