,index,category,year,win,entity
0,0,best_picture_cast,2020,True,['Bombshell']
1,1,best_picture_cast,2020,False,['The Irishman']
2,2,best_picture_cast,2020,False,['Jojo Rabbit']
3,3,best_picture_cast,2020,False,['Once Upon a Time...in Hollywood']
4,4,best_picture_cast,2020,False,['Parasite']
5,0,best_actress,2020,True,['Cynthia Erivo']
6,1,best_actress,2020,False,['Scarlett Johansson']
7,2,best_actress,2020,False,"[""Lupita Nyong'o""]"
8,3,best_actress,2020,False,['Charlize Theron']
9,4,best_actress,2020,False,['Renée Zellweger']
10,0,best_actor,2020,True,['Christian Bale']
11,1,best_actor,2020,False,['Leonardo DiCaprio']
12,2,best_actor,2020,False,['Adam Driver']
13,3,best_actor,2020,False,['Taron Egerton']
14,4,best_actor,2020,False,['Joaquin Phoenix']
15,0,support_actress,2020,True,['Laura Dern']
16,1,support_actress,2020,False,['Scarlett Johansson']
17,2,support_actress,2020,False,['Nicole Kidman']
18,3,support_actress,2020,False,['Jennifer Lopez']
19,4,support_actress,2020,False,['Margot Robbie']
20,0,support_actor,2020,True,['Jamie Foxx']
21,1,support_actor,2020,False,['Tom Hanks']
22,2,support_actor,2020,False,['Al Pacino']
23,3,support_actor,2020,False,['Joe Pesci']
24,4,support_actor,2020,False,['Brad Pitt']
0,0,best_picture_cast,2019,True,['Black Panther']
1,1,best_picture_cast,2019,False,['A Star Is Born']
2,2,best_picture_cast,2019,False,['BlacKkKlansman']
3,3,best_picture_cast,2019,False,['Bohemian Rhapsody']
4,4,best_picture_cast,2019,False,['Crazy Rich Asians']
5,0,best_actress,2019,True,['Glenn Close']
6,1,best_actress,2019,False,['Lady Gaga']
7,2,best_actress,2019,False,['Emily Blunt']
8,3,best_actress,2019,False,['Olivia Colman']
9,4,best_actress,2019,False,['Melissa McCarthy']
10,0,best_actor,2019,True,['Rami Malek']
11,1,best_actor,2019,False,['Christian Bale']
12,2,best_actor,2019,False,['Bradley Cooper']
13,3,best_actor,2019,False,['Viggo Mortensen']
14,4,best_actor,2019,False,['John David Washington']
15,0,support_actress,2019,True,['Emily Blunt']
16,1,support_actress,2019,False,['Emma Stone']
17,2,support_actress,2019,False,['Margot Robbie']
18,3,support_actress,2019,False,['Rachel Weisz']
19,4,support_actress,2019,False,['AMY ADAMS']
20,0,support_actor,2019,True,['Mahershala Ali']
21,1,support_actor,2019,False,['TIMOTHÉE CHALAMET ']
22,2,support_actor,2019,False,['Adam Driver']
23,3,support_actor,2019,False,['Sam Elliott']
24,4,support_actor,2019,False,['Richard E. Grant']
0,0,best_picture_cast,2018,True,"['THREE BILLBOARDS OUTSIDE EBBING', ' MISSOURI']"
1,1,best_picture_cast,2018,False,['The Big Sick']
2,2,best_picture_cast,2018,False,['GET OUT']
3,3,best_picture_cast,2018,False,['LADY BIRD']
4,4,best_picture_cast,2018,False,['MUDBOUND']
5,0,best_actress,2018,True,['FRANCES McDORMAND']
6,1,best_actress,2018,False,['JUDI DENCH']
7,2,best_actress,2018,False,['SALLY HAWKINS']
8,3,best_actress,2018,False,['MARGOT ROBBIE']
9,4,best_actress,2018,False,['SAOIRSE RONAN']
10,0,best_actor,2018,True,['GARY OLDMAN']
11,1,best_actor,2018,False,['TIMOTHÉE CHALAMET']
12,2,best_actor,2018,False,['JAMES FRANCO']
13,3,best_actor,2018,False,['DANIEL KALUUYA']
14,4,best_actor,2018,False,['DENZEL WASHINGTON']
15,0,support_actress,2018,True,['ALLISON JANNEY']
16,1,support_actress,2018,False,['MARY J. BLIGE']
17,2,support_actress,2018,False,['HONG CHAU']
18,3,support_actress,2018,False,['HOLLY HUNTER']
19,4,support_actress,2018,False,['LAURIE METCALF']
20,0,support_actor,2018,True,['SAM ROCKWELL']
21,1,support_actor,2018,False,['STEVE CARELL']
22,2,support_actor,2018,False,['WILLEM DAFOE']
