,year,best_drama,best_comedy,best_actor_drama,best_actor_comedy,best_supporting_actor,best_actress_drama,best_actress_comedy,best_supporting_actress,win,award
0,2019,Bohemian Rhapsody,Green Book,Rami Malek,Christian Bale,Mahershala Ali,Glenn Close,Olivia Coleman,Regina King,True,Golden Globes
1,2019,Black Panther,The Favorite,Bradley Cooper,Robert Redford,Sam Rockwell,Lady Gaga,Emily Blunt,Amy Adams,False,Golden Globes
2,2019,BlacKkKlansman,Marry Poppins Returns,Willem Dafoe,John C. Reilly,Timothée Chalamet,Nicole Kidman,Elsie Fisher,Claire Foy,False,Golden Globes
3,2019,If Beale Street Could Talk,Vice,Lucas Hedges,Lin-Manuel Miranda,Adam Driver,Melissa McCarthy,Charlize Theron,Emma Stone,False,Golden Globes
4,2019,A Star Is Born,Crazy Rich Asians,John David Washington,Viggo Mortensen,Richard E. Grant,Rosamund Pike,Constance Wu,Rachel Weisz,False,Golden Globes
5,2018,"Three Billboards Outside Ebbing, Missouri",Lady Bird,Gary Oldman,James Franco,Sam Rockwell,Frances McDormand,Saoirse Ronan,Allison Janney,True,Golden Globes
6,2018,Call Me By Your Name,The Disaster Artist,Timothée Chalamet,Steve Carell,Willem Dafoe,Meryl Streep,Judi Dench,Hong Chau,False,Golden Globes
7,2018,Dunkirk,Get Out,Daniel Day-Lewis,Ansel Elgort,Armie Hammer,Michelle Williams,Helen Mirren,Laurie Metcalf,False,Golden Globes
8,2018,The Post,The Greatest Showman,Tom Hanks,Hugh Jackman,Richard Jenkins,Jessica Chastain,Margot Robbie,Octavia Spencer,False,Golden Globes
9,2018,The Shape of Water,"I, Tonya",Denzel Washington,Daniel Kaluuya,Christopher Plummer,Sally Hawkins,Emma Stone,Mary J. Blige,False,Golden Globes
10,2017,Moonlight,La La Land,Casey Affleck,Ryan Gosling,Aaron Taylor-Johnson,Isabelle Huppert,Emma Stone,Viola Davis,True,Golden Globes
11,2017,Hell or High Water,20th Century Women,Joel Edgerton,Jonah Hill,Mahershala Ali,Amy Adams,Annette Bening,Naomie Harris,False,Golden Globes
12,2017,Lion,Deadpool,Andrew Garfield,Ryan Reynolds,Jeff Bridges,Jessica Chastain,Lily Collins,Nicole Kidman,False,Golden Globes
13,2017,Manchester by the Sea,Florence Foster Jenkins,Viggo Mortensen,Colin Farrell,Simon Helberg,Ruth Negga,Hailee Steinfeld,Octavia Spencer,False,Golden Globes
14,2017,Hacksaw Ridge,Sing Street,Denzel Washington,Hugh Grant,Dev Patel,Natalie Portman,Meryl Streep,Michelle Williams,False,Golden Globes
15,2016,The Revenant,The Martian,Leonardo DiCaprio,Matt Damon,Sylvester Stallone,Brie Larson,Jennifer Lawrence,Kate Winslet,True,Golden Globes
16,2016,Mad Max: Fury Road,Joy,Will Smith,Steve Carell,Paul Dano,Saoirse Ronan,Lily Tomlin,Alicia Vikander,False,Golden Globes
17,2016,Room,Spy,Michael Fassbender,Al Pacino,Michael Shannon,Cate Blanchett,Melissa McCarthy,Jennifer Jason Leigh,False,Golden Globes
18,2016,Spotlight,The Big Short,Eddie Redmayne,Mark Ruffalo,Idris Elba,Rooney Mara,Maggie Smith,Helen Mirren,False,Golden Globes
19,2016,Carol,Trainwreck,Bryan Cranston,Christian Bale,Mark Rylance,Alicia Vikander,Amy Schumer,Jane Fonda,False,Golden Globes
20,2015,Boyhood,The Grand Budapest Hotel,Eddie Redmayne,Michael Keaton,J.K. Simmons,Julianne Moore,Amy Adams,Patricia Arquette,True,Golden Globes
21,2015,Selma,Into the Woods,Benedict Cumberbatch,Ralph Fiennes,Edward Norton,Felicity Jones,Julianne Moore,Jessica Chastain,False,Golden Globes
22,2015,Foxcatcher,St. Vincent,David Oyelowo,Christoph Waltz,Mark Ruffalo,Rosamund Pike,Quvenzhané Wallis,Emma Stone,False,Golden Globes
23,2015,The Theory of Everything,Pride,Steve Carell,Bill Murray,Robert Duvall,Reese Witherspoon,Emily Blunt,Keira Knightley,False,Golden Globes
24,2015,The Imitation Game,Birdman,Jake Gyllenhaal,Joaquin Phoenix,Ethan Hawke,Jennifer Aniston,Helen Mirren,Meryl Streep,False,Golden Globes
25,2014,12 Years a Slave,American Hustle,Matthew McConaughey,Leonardo DiCaprio,Jared Leto,Cate Blanchett,Amy Adams,Jennifer Lawrence,True,Golden Globes
26,2014,Captain Phillips,The Wolf of Wall Street,Chiwetel Ejiofor,Bruce Dern,Barkhad Abdi,Kate Winslet,Meryl Streep,Lupita Nyong'o,False,Golden Globes
27,2014,Gravity,Nebraska,Tom Hanks,Oscar Isaac,Daniel Brühl,Emma Thompson,Julie Delpy,June Squibb,False,Golden Globes
28,2014,Philomena,Inside Llewyn Davis,Idris Elba,Joaquin Phoenix,Bradley Cooper,Sandra Bullock,Julia Louis-Dreyfus,Julia Roberts,False,Golden Globes
29,2014,Rush,Her,Robert Redford,Christian Bale,Michael Fassbender,Judi Dench,Greta Gerwig,Sally Hawkins,False,Golden Globes
30,2013,Argo,Les Misérables,Daniel Day-Lewis,Hugh Jackman,Christoph Waltz,Jessica Chastain,Jennifer Lawrence,Anne Hathaway,True,Golden Globes
31,2013,Life of Pi,The Best Exotic Marigold Hotel,Richard Gere,Jack Black,Alan Arkin,Marion Cotillard,Maggie Smith,Sally Field,False,Golden Globes
