award,year,best_picture_cast,best_male_lead,best_male_support,best_female_lead,best_female_support,win
Screen Actors Guild Award,2019,Black Panther,Rami Malek,Mahershala Ali,Glenn Close,Emily Blunt,True
Screen Actors Guild Award,2019,A Star Is Born,Christian Bale,TIMOTHÉE CHALAMET ,Lady Gaga,Emma Stone,False
Screen Actors Guild Award,2019,BlacKkKlansman,Bradley Cooper,Adam Driver,Emily Blunt,Margot Robbie,False
Screen Actors Guild Award,2019,Bohemian Rhapsody,Viggo Mortensen,Sam Elliott,Olivia Colman,Rachel Weisz,False
Screen Actors Guild Award,2019,Crazy Rich Asians,John David Washington,Richard E. Grant,Melissa McCarthy,AMY ADAMS,False
Screen Actors Guild Award,2018,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",GARY OLDMAN,SAM ROCKWELL,FRANCES McDORMAND,ALLISON JANNEY,True
Screen Actors Guild Award,2018,The Big Sick,TIMOTHÉE CHALAMET,STEVE CARELL,JUDI DENCH,MARY J. BLIGE,False
Screen Actors Guild Award,2018,GET OUT,JAMES FRANCO,WILLEM DAFOE,SALLY HAWKINS,HONG CHAU,False
Screen Actors Guild Award,2018,LADY BIRD,DANIEL KALUUYA,WOODY HARRELSON,MARGOT ROBBIE,HOLLY HUNTER,False
Screen Actors Guild Award,2018,MUDBOUND,DENZEL WASHINGTON,RICHARD JENKINS,SAOIRSE RONAN,LAURIE METCALF,False
Screen Actors Guild Award,2017,Captain Fantastic,CASEY AFFLECK,MAHERSHALA ALI,AMY ADAMS,VIOLA DAVIS,True
Screen Actors Guild Award,2017,FENCES,ANDREW GARFIELD,JEFF BRIDGES,EMILY BLUNT,NICOLE KIDMAN,False
Screen Actors Guild Award,2017,HIDDEN FIGURES,RYAN GOSLING,HUGH GRANT,NATALIE PORTMAN,NAOMIE HARRIS,False
Screen Actors Guild Award,2017,MANCHESTER BY THE SEA,VIGGO MORTENSEN,LUCAS HEDGES,EMMA STONE,OCTAVIA SPENCER,False
Screen Actors Guild Award,2017,MOONLIGHT,DENZEL WASHINGTON,DEV PATEL,MERYL STREEP,MICHELLE WILLIAMS,False
Screen Actors Guild Award,2016, SPOTLIGHT,Leonardo DiCaprio,Idris Elba,Brie Larson,Alicia Vikander,True
Screen Actors Guild Award,2016,BEASTS OF NO NATION,BRYAN CRANSTON,Christian Bale,Cate Blanchett ,Rooney Mara,False
Screen Actors Guild Award,2016,The BIG SHORT,Johnny Depp,Mark Rylance,Helen Mirren,Rachel McAdams,False
Screen Actors Guild Award,2016,STRAIGHT OUTTA COMPTON,Michael Fassbender,Michael Shannon,Saoirse Ronan,Helen Mirren,False
Screen Actors Guild Award,2016,TRUMBO,Eddie Redmayne,Jacob Tremblay,Sarah Silverman,Kate Winslet,False
Screen Actors Guild Award,2015,BIRDMAN,EDDIE REDMAYNE ,J.K. SIMMONS ,JULIANNE MOORE ,PATRICIA ARQUETTE ,True
Screen Actors Guild Award,2015,BOYHOOD,STEVE CARELL ,ROBERT DUVALL ,JENNIFER ANISTON ,KEIRA KNIGHTLEY,False
Screen Actors Guild Award,2015,THE GRAND BUDAPEST HOTEL ,BENEDICT CUMBERBATCH ,ETHAN HAWKE ,FELICITY JONES ,EMMA STONE,False
